ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300604.SZ,20251113,79.62,81.0,79.0,80.3,79.6,0.7,0.8794,193551.33,1548644.321
300604.SZ,20251114,79.2,81.18,77.81,78.61,80.3,-1.69,-2.1046,197883.68,1568707.631
300604.SZ,20251117,79.0,79.66,76.35,77.0,78.61,-1.61,-2.0481,221176.42,1713977.763
300604.SZ,20251118,76.6,80.88,76.5,79.1,77.0,2.1,2.7273,340844.67,2705338.709
300604.SZ,20251119,78.47,80.43,77.93,78.45,79.1,-0.65,-0.8217,184769.2,1458256.274
300604.SZ,20251120,79.4,79.92,77.26,77.35,78.45,-1.1,-1.4022,146330.78,1143772.103
300604.SZ,20251121,75.61,76.97,73.6,73.6,77.35,-3.75,-4.8481,210272.65,1574227.821
300604.SZ,20251124,74.0,75.35,72.93,73.62,73.6,0.02,0.0272,200636.77,1483106.714
300604.SZ,20251125,74.78,77.34,74.6,75.73,73.62,2.11,2.8661,218312.03,1662733.927
300604.SZ,20251126,75.09,78.16,74.88,77.0,75.73,1.27,1.677,233953.72,1805161.076
300604.SZ,20251127,77.6,78.8,75.79,75.91,77.0,-1.09,-1.4156,200344.31,1547766.436
300604.SZ,20251128,76.23,77.5,75.4,77.11,75.91,1.2,1.5808,178007.02,1364627.384
300604.SZ,20251201,75.0,80.98,74.88,79.41,77.11,2.3,2.9828,349323.9,2751319.833
300604.SZ,20251202,79.02,80.12,78.11,78.68,79.41,-0.73,-0.9193,183629.1,1451891.32
300604.SZ,20251203,78.82,85.35,78.82,81.81,78.68,3.13,3.9781,538757.49,4473998.888
300604.SZ,20251204,82.5,88.81,81.5,87.5,81.81,5.69,6.9551,632850.12,5418902.917
300604.SZ,20251205,86.0,87.02,84.08,85.63,87.5,-1.87,-2.1371,426716.63,3644598.452
300604.SZ,20251208,85.0,88.22,84.69,87.82,85.63,2.19,2.5575,428614.94,3718811.722
300604.SZ,20251209,86.6,88.98,85.01,87.12,87.82,-0.7,-0.7971,343620.04,2988577.458
300604.SZ,20251210,86.1,90.5,86.1,90.0,87.12,2.88,3.3058,432955.55,3836906.184
300604.SZ,20251211,90.6,91.05,88.53,89.18,90.0,-0.82,-0.9111,328105.29,2949323.499
