ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000977.SZ,20250718,55.34,56.24,54.9,55.28,55.32,-0.04,-0.0723,539391.95,2985348.91
000977.SZ,20250721,55.14,55.14,54.06,54.74,55.28,-0.54,-0.9768,464353.55,2532061.417
000977.SZ,20250722,54.48,54.9,53.83,54.1,54.74,-0.64,-1.1692,406875.29,2207227.337
000977.SZ,20250723,54.11,54.58,53.72,53.85,54.1,-0.25,-0.4621,380729.87,2060413.676
000977.SZ,20250724,53.82,54.5,53.82,54.37,53.85,0.52,0.9656,355195.87,1924891.398
000977.SZ,20250725,54.55,54.98,54.26,54.89,54.37,0.52,0.9564,429905.58,2349579.432
000977.SZ,20250728,55.12,55.27,54.03,54.6,54.89,-0.29,-0.5283,428787.89,2335327.796
000977.SZ,20250729,54.3,55.35,53.85,55.15,54.6,0.55,1.0073,499425.87,2730847.25
000977.SZ,20250730,54.92,55.85,54.28,54.98,55.15,-0.17,-0.3083,534124.07,2935296.188
000977.SZ,20250731,54.88,57.12,54.82,55.77,54.98,0.79,1.4369,1108811.0,6234031.147
000977.SZ,20250801,55.78,55.95,53.57,54.1,55.77,-1.67,-2.9944,653980.82,3557660.361
000977.SZ,20250804,53.56,54.28,53.39,54.07,54.1,-0.03,-0.0555,351253.62,1888740.521
000977.SZ,20250805,54.1,55.6,53.79,55.19,54.07,1.12,2.0714,529218.34,2894663.599
000977.SZ,20250806,54.94,55.8,54.52,55.29,55.19,0.1,0.1812,426350.33,2353433.914
000977.SZ,20250807,55.29,56.28,54.6,54.7,55.29,-0.59,-1.0671,445225.43,2454190.703
000977.SZ,20250808,54.99,54.99,53.69,53.69,54.7,-1.01,-1.8464,374514.68,2025528.755
000977.SZ,20250811,53.56,54.45,53.5,54.29,53.69,0.6,1.1175,307182.54,1663806.676
000977.SZ,20250812,54.3,56.49,53.96,56.25,54.29,1.96,3.6102,946936.56,5260710.007
000977.SZ,20250813,56.49,58.39,56.12,58.39,56.25,2.14,3.8044,1136588.65,6558108.831
000977.SZ,20250814,58.46,60.39,57.7,58.53,58.39,0.14,0.2398,1295268.44,7632278.33
000977.SZ,20250815,58.55,58.98,58.08,58.68,58.53,0.15,0.2563,817445.79,4785403.986
000977.SZ,20250818,58.96,61.6,58.89,61.07,58.68,2.39,4.0729,1158265.44,7003231.432
000977.SZ,20250819,60.75,60.77,59.47,59.95,61.07,-1.12,-1.834,821713.85,4929158.862
000977.SZ,20250820,59.5,65.95,58.78,65.95,59.95,6.0,10.0083,1636073.75,10300519.34
000977.SZ,20250821,67.37,69.43,65.36,65.46,65.95,-0.49,-0.743,2294493.02,15460765.795
000977.SZ,20250822,65.6,68.97,64.64,68.2,65.46,2.74,4.1858,1780000.07,11974483.39
000977.SZ,20250825,69.72,71.5,67.94,69.15,68.2,0.95,1.393,1779123.2,12379242.495
000977.SZ,20250826,68.55,71.38,68.29,68.52,69.15,-0.63,-0.9111,1290695.16,8988790.941
000977.SZ,20250827,68.54,69.51,65.98,66.28,68.52,-2.24,-3.2691,1608929.71,10914095.487
000977.SZ,20250828,65.2,68.01,65.11,67.9,66.28,1.62,2.4442,1272040.96,8474233.822
000977.SZ,20250829,67.5,68.6,65.8,67.15,67.9,-0.75,-1.1046,1037044.29,6920840.012
000977.SZ,20250901,70.5,70.98,67.53,68.93,67.15,1.78,2.6508,1451361.64,10019320.565
000977.SZ,20250902,68.0,68.65,63.61,63.81,68.93,-5.12,-7.4278,1375968.58,9037898.312
000977.SZ,20250903,63.89,65.5,62.23,62.64,63.81,-1.17,-1.8336,875618.45,5576472.614
000977.SZ,20250904,62.68,63.2,57.69,58.98,62.64,-3.66,-5.8429,1097420.84,6605168.416
000977.SZ,20250905,59.09,60.46,58.0,60.2,58.98,1.22,2.0685,727174.8,4312932.098
000977.SZ,20250908,60.19,60.7,59.1,59.79,60.2,-0.41,-0.6811,564368.46,3376431.795
000977.SZ,20250909,59.5,59.56,57.83,58.03,59.79,-1.76,-2.9436,474039.54,2774812.385
000977.SZ,20250910,58.58,60.8,58.43,59.74,58.03,1.71,2.9468,802405.61,4801349.989
000977.SZ,20250911,60.8,64.28,59.75,63.99,59.74,4.25,7.1142,1186645.07,7423503.542
000977.SZ,20250912,63.9,65.2,63.11,64.08,63.99,0.09,0.1406,968408.29,6222953.486
000977.SZ,20250915,64.12,65.13,62.88,63.77,64.08,-0.31,-0.4838,759098.96,4854116.087
000977.SZ,20250916,63.77,66.46,63.77,65.57,63.77,1.8,2.8226,986735.03,6480587.399
000977.SZ,20250917,65.01,66.2,63.88,65.09,65.57,-0.48,-0.732,694503.77,4498696.244
000977.SZ,20250918,65.14,67.32,64.0,65.56,65.09,0.47,0.7221,1194440.8,7899037.309
000977.SZ,20250919,65.61,66.06,63.91,64.36,65.56,-1.2,-1.8304,717785.66,4659379.858
000977.SZ,20250922,64.32,66.99,63.85,66.5,64.36,2.14,3.325,947735.76,6244932.486
000977.SZ,20250923,66.98,68.45,64.88,67.16,66.5,0.66,0.9925,1086094.06,7239679.867
000977.SZ,20250924,66.7,69.14,65.9,69.14,67.16,1.98,2.9482,1212908.98,8253782.051
000977.SZ,20250925,70.24,76.05,69.22,76.05,69.14,6.91,9.9942,1403837.75,10353262.737
000977.SZ,20250926,76.45,76.94,71.87,71.99,76.05,-4.06,-5.3386,1746786.19,12954550.217
000977.SZ,20250929,72.04,73.11,70.75,72.6,71.99,0.61,0.8473,1024154.66,7401743.838
000977.SZ,20250930,73.6,75.15,72.33,74.42,72.6,1.82,2.5069,1058583.1,7862675.848
000977.SZ,20251009,76.88,80.8,75.79,75.96,74.42,1.54,2.0693,1538479.11,12001091.534
000977.SZ,20251010,74.68,74.93,69.04,69.66,75.96,-6.3,-8.2938,1402948.42,10012085.061
000977.SZ,20251013,66.0,70.88,66.0,70.48,69.66,0.82,1.1771,878251.54,6078598.759
000977.SZ,20251014,70.88,71.18,66.19,66.72,70.48,-3.76,-5.3348,892721.78,6119392.47
000977.SZ,20251015,66.51,67.9,65.38,67.73,66.72,1.01,1.5138,596442.87,3981310.818
000977.SZ,20251016,67.01,69.25,66.78,67.41,67.73,-0.32,-0.4725,551436.63,3740798.022
000977.SZ,20251017,67.51,67.81,64.27,64.41,67.41,-3.0,-4.4504,562373.53,3681258.353
000977.SZ,20251020,65.97,66.31,64.19,64.75,64.41,0.34,0.5279,486884.24,3182320.763
000977.SZ,20251021,65.17,67.4,64.62,67.21,64.75,2.46,3.7992,655610.1,4349464.114
000977.SZ,20251022,66.59,67.3,65.7,66.52,67.21,-0.69,-1.0266,397970.5,2644686.484
000977.SZ,20251023,66.03,66.17,63.8,65.68,66.52,-0.84,-1.2628,456091.06,2954144.989
000977.SZ,20251024,66.1,67.92,65.96,67.8,65.68,2.12,3.2278,599135.76,4023119.676
000977.SZ,20251027,68.9,68.94,67.28,68.41,67.8,0.61,0.8997,694843.92,4737228.867
