trade_date,open,high,low,close,pct_chg,rsi_14,macd_dif,macd_dea,macd_hist,bb_mid,bb_upper,bb_lower,bb_width,bb_pct_b,tr,atr_14
20250718,44.66,45.0,44.17,44.58,-0.4689,,0.0,0.0,0.0,,,,,,0.8299999999999983,0.8299999999999983
20250721,44.59,44.65,44.2,44.38,-0.4486,0.0,-0.015954415954418266,-0.0031908831908836533,-0.012763532763534613,,,,,,0.44999999999999574,0.8028571428571409
20250722,43.83,44.36,42.71,43.92,-1.0365,0.0,-0.06496765448332553,-0.015546237449372028,-0.0494214170339535,,,,,,1.6700000000000017,0.8647959183673453
20250723,43.96,45.3,43.94,45.02,2.5046,27.90866255889854,-0.014878680060299132,-0.01541272597155745,0.0005340459112583174,,,,,,1.3799999999999955,0.9015962099125345
20250724,45.16,45.68,44.75,45.13,0.2443,30.012180267966286,0.033309304801740325,-0.005668319816897895,0.03897762461863822,,,,,,0.9299999999999997,0.9036250520616392
20250725,45.13,45.4,44.61,45.31,0.3988,33.43492131387161,0.08504280513750473,0.012473905173982633,0.0725688999635221,,,,,,0.7899999999999991,0.8955089769143793
20250728,45.58,45.69,44.89,45.09,-0.4855,31.41286176735096,0.10705574351865721,0.03139027284291755,0.07566547067573966,,,,,,0.7999999999999972,0.8886869071347806
20250729,44.83,45.23,44.69,45.05,-0.0887,31.045232109240857,0.11989145599940798,0.049090509474215636,0.07080094652519234,,,,,,0.5399999999999991,0.8637806994822962
20250730,44.9,45.15,44.03,44.34,-1.576,25.369755270032755,0.07194346485470504,0.05366110055031352,0.01828236430439152,,,,,,1.1199999999999974,0.8820820780907035
20250731,44.26,44.76,43.25,43.44,-2.0298,20.302938608117287,-0.03823736541371403,0.03528140735750801,-0.07351877277122204,,,,,,1.509999999999998,0.9269333582270817
20250801,43.5,44.28,43.12,43.68,0.5525,24.6260234245144,-0.10498032513496725,0.0072290608590129595,-0.1122093859939802,,,,,,1.1600000000000037,0.9435809754965762
20250804,43.55,44.44,43.35,44.12,1.0073,31.917463238180844,-0.12097574571275516,-0.018411900455340666,-0.1025638452574145,,,,,,1.0899999999999963,0.9540394772468205
20250805,44.05,44.15,43.85,44.04,-0.1813,31.32413777583143,-0.13851089578694342,-0.04243169952166122,-0.0960791962652822,,,,,,0.29999999999999716,0.9073223717291903
20250806,44.0,44.65,43.72,44.46,0.9537,37.85560253366842,-0.11716651597855332,-0.05737866281303964,-0.05978785316551368,,,,,,0.9299999999999997,0.9089422023199624
20250807,44.55,45.21,44.26,44.68,0.4948,41.01984981092298,-0.08155862278419335,-0.062214654807270384,-0.019343967976922963,,,,,,0.9500000000000028,0.911874902154251
20250808,44.66,44.67,43.76,43.81,-1.9472,33.7100001770625,-0.12213296717283129,-0.07419831728038256,-0.04793464989244872,,,,,,0.9200000000000017,0.9124552662860904
20250811,43.8,44.38,43.7,44.04,0.525,36.91082911173815,-0.13418257639843034,-0.08619516910399212,-0.04798740729443822,,,,,,0.6799999999999997,0.8958513186942269
20250812,44.05,44.8,43.66,44.7,1.4986,45.102422878000446,-0.08944443460767815,-0.08684502220472932,-0.0025994124029488225,,,,,,1.1400000000000006,0.9132905102160679
20250813,44.67,45.46,44.48,45.33,1.4094,51.566949227962816,-0.003117463864413139,-0.07009951053666609,0.06698204667225295,,,,,,0.980000000000004,0.9180554737720633
20250814,45.51,46.18,44.65,44.84,-1.081,46.937360518163956,0.02546483473916794,-0.050986641481499284,0.07645147622066722,44.498000000000005,45.60026312648116,43.39573687351885,0.04954214241004787,0.6551353718470985,1.5300000000000011,0.9617657970740588
